X,Y,Z,X,Y,Z,W
-3.077925,313.466797,41.678017,0.000032,0.000019,-0.000018,1
-3.067342,313.493347,41.678303,0.000022,0.000026,-0.000033,1
-3.077201,313.471191,41.677856,0.000021,0.000024,-0.000013,1
-3.069796,313.486328,41.677044,0.000016,0.00003,-0.000018,1
-3.072606,313.476135,41.678123,0.000018,0.000032,-0.000015,1
-3.072448,313.475616,41.67717,0.00003,0.000029,-0.000012,1
-3.06971,313.496674,41.677452,0.000011,0.00003,-0.000036,1
-3.074482,313.467651,41.676067,0.000035,0.000026,-0.000015,1
-3.068393,313.495239,41.677361,0.00001,0.000035,-0.000032,1
-3.074243,313.466125,41.675949,0.000025,0.000021,-0.000013,1
-3.069832,313.491852,41.677395,0.000026,0.000029,-0.000031,1
-3.074259,313.466461,41.676373,0.000032,0.000018,-0.000025,1
-3.072644,313.490326,41.676708,0.00003,0.000027,-0.000019,1
-3.07026,313.47525,41.675644,0.000005,0.000016,-0.00002,1
-3.074286,313.484161,41.678905,0.000035,0.000022,-0.000024,1
-3.069171,313.483551,41.676125,0.000016,0.000021,-0.000026,1
-3.074346,313.477356,41.678776,0.000043,0.000018,-0.000026,1
-3.067545,313.483307,41.676468,0.000031,0.000023,-0.000037,1
-3.073617,313.472107,41.676998,0.000029,0.000018,-0.000023,1
-3.067335,313.487061,41.678505,0.000022,0.000023,-0.000025,1
-3.072697,313.477112,41.676857,0.000018,0.00002,-0.000021,1
-3.068235,313.47757,41.680542,0.000043,0.000021,-0.000026,1
-3.069839,313.479248,41.676376,-0.000002,0.000023,-0.000028,1
-3.071594,313.484314,41.679222,0.000045,0.000029,-0.000019,1
-3.068228,313.480927,41.676266,0.000004,0.000027,-0.000014,1
-3.07426,313.475952,41.681686,0.000048,0.000029,-0.000022,1
-3.06683,313.486877,41.675404,0.00001,0.000029,-0.000017,1
-3.073743,313.475464,41.679653,0.000037,0.000031,-0.000023,1
-3.067139,313.481354,41.677094,0.000025,0.000031,-0.000018,1
-3.071671,313.481934,41.677456,0.00002,0.000024,-0.000029,1
-3.071239,313.483978,41.678791,0.000028,0.000035,-0.00002,1
-3.070382,313.474091,41.676514,0.000007,0.000028,-0.00003,1
-3.071731,313.481964,41.67828,0.000025,0.000025,-0.000027,1
-3.070369,313.485077,41.676498,0.000011,0.000025,-0.00003,1
-3.073291,313.473602,41.679359,0.000033,0.00002,-0.000028,1
-3.068567,313.487,41.67717,0.000022,0.000025,-0.000021,1
-3.071338,313.478851,41.677204,0.000022,0.000017,-0.000034,1
-3.069549,313.48761,41.678051,0.000029,0.000023,-0.000025,1
-3.070559,313.472137,41.677727,0.00001,0.000016,-0.000028,1
-3.071283,313.490204,41.678654,0.000034,0.000023,-0.000025,1
-3.069975,313.478149,41.676765,0.000019,0.000019,-0.000021,1
-3.070517,313.481171,41.680332,0.000036,0.000022,-0.000029,1
-3.068028,313.486176,41.677486,0.000022,0.000023,-0.000016,1
-3.071005,313.479279,41.679173,0.000029,0.000023,-0.000019,1
-3.067894,313.487274,41.6777,0.000031,0.000027,-0.000021,1
-3.07143,313.471771,41.677204,0.000019,0.000021,-0.000018,1
-3.067801,313.489655,41.680428,0.000026,0.000032,-0.00003,1
-3.071213,313.475128,41.676685,0.000007,0.000025,-0.000024,1
-3.067601,313.486664,41.681129,0.000026,0.000032,-0.000035,1
