x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
0.141080877,0.259602839,0.471325896,-0.420363538,0.102500254,0.05506713,0.899864326,-34.03696161,-22.81108399,-32.99165079,-131.98119,-142.8335199,-87.73941128,-127.5882702,-147.3370975,-75.79275606
0.143613694,0.252587916,0.465339438,-0.399801292,0.110579327,0.048496613,0.908613899,-33.93911726,-22.93905831,-32.99550654,-126.4893712,-136.5353732,-84.53020651,-124.3108315,-144.6914301,-74.40979099
0.144588232,0.225005877,0.445462682,-0.3756253,0.121320315,0.04592992,0.917647785,-33.52997188,-22.25840774,-33.86522276,-120.6372907,-129.5461551,-78.16487657,-121.646105,-142.3489847,-69.36705306
0.148569129,0.215392265,0.440627768,-0.360276383,0.130050289,0.047068283,0.922535867,-33.43212753,-22.38638206,-33.86907851,-115.145472,-123.2480084,-74.9556718,-118.3686664,-139.7033173,-67.98408799
0.147194273,0.19731226,0.422841422,-0.343091836,0.127673555,0.051557531,0.929155141,-31.97863266,-22.41004394,-34.2308645,-109.8485224,-117.579326,-68.14340445,-115.8475838,-135.4842609,-72.34623649
0.15089331,0.186023778,0.417848764,-0.322780607,0.136342538,0.052804649,0.935112325,-31.88078831,-22.53801825,-34.23472025,-104.3567036,-111.2811793,-64.93419968,-112.5701452,-132.8385936,-70.96327142
0.147794863,0.167177921,0.403689432,-0.304217289,0.142550209,0.053576262,0.940351457,-31.70511871,-22.31383635,-32.16754112,-99.03731941,-104.8477647,-60.29846362,-109.2958846,-130.4562317,-63.67786313
0.15118642,0.156743762,0.399341605,-0.282669255,0.152248564,0.050401851,0.945715666,-31.60727436,-22.44181066,-32.17139688,-93.54550066,-98.54961796,-57.08925885,-106.0184459,-127.8105644,-62.29489806
0.152939738,0.135070912,0.384064289,-0.252187539,0.146936284,0.05500933,0.954874414,-30.49551738,-22.99370687,-31.43973519,-87.31489919,-92.10883731,-52.49178844,-102.2925963,-125.0715498,-66.96071138
0.156775985,0.125094478,0.381183108,-0.233693426,0.156533195,0.053357209,0.958142865,-30.39767303,-23.12168119,-31.44359095,-81.82308044,-85.81069059,-49.28258367,-99.01515769,-122.4258824,-65.5777463
0.151636574,0.107460457,0.367729499,-0.216714676,0.156966619,0.04551115,0.962457773,-29.26787237,-23.23661645,-29.50468798,-76.78687033,-78.9912269,-46.05424608,-95.58851357,-118.6085415,-60.46917043
0.156700243,0.095649549,0.365683756,-0.200222916,0.166042055,0.045881924,0.964487257,-29.17002802,-23.36459076,-29.50854374,-71.29505158,-72.69308017,-42.84504132,-92.31107493,-115.9628741,-59.08620535
0.156965702,0.07860889,0.356026212,-0.18212702,0.16801313,0.039942281,0.967990677,-28.33120552,-23.56104555,-28.09102013,-65.58103715,-63.43427496,-40.30127014,-90.23403355,-112.35637,-61.61543488
0.163690626,0.063853352,0.354891195,-0.167347085,0.177157479,0.041417814,0.968965812,-28.23336117,-23.68901987,-28.09487589,-60.08921839,-57.13612823,-37.09206537,-86.95659492,-109.7107026,-60.2324698
0.160264836,0.048021672,0.344292061,-0.138641302,0.180016796,0.029690948,0.973391489,-27.61502774,-23.40123442,-24.98804196,-54.1863018,-50.03265227,-34.5905774,-83.52935491,-106.0596169,-59.53060203
0.167331438,0.03350498,0.344367631,-0.123150654,0.191716161,0.028265797,0.973283039,-27.5171834,-23.52920874,-24.99189772,-48.69448305,-43.73450554,-31.38137263,-80.25191627,-103.4139495,-58.14763695
