x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,l0,l1,l2,l3,l4,l5,l6,l7,l8
-0.055574089,0.270427597,0.465136011,-0.554627234,-0.171483397,0.017646271,0.814045874,-31.27661015,-42.33974478,-41.22337563,-166.1415975,-129.891991,-75.55090155,-87.89873336,-68.59867897,-36.68095067
-0.053034487,0.259409269,0.453435568,-0.528166937,-0.159189881,0.020533126,0.833832513,-34.10946233,-44.80302248,-43.16157787,-164.5818955,-130.2919177,-74.13173573,-89.35670977,-71.19080749,-33.94451692
-0.047179568,0.252665784,0.449182846,-0.514031508,-0.156328647,0.036500475,0.84261538,-38.91457729,-45.79817685,-43.75867049,-161.5802353,-129.8989202,-74.03475243,-91.14745514,-78.13370245,-37.51547983
-0.040010985,0.240908158,0.437410593,-0.4745268,-0.139784366,0.051028932,0.867571723,-43.48356086,-44.37739288,-45.62631792,-159.6745541,-128.9273848,-73.50167787,-93.14681604,-83.12621418,-36.73274441
-0.032769465,0.232863672,0.433765197,-0.456572643,-0.137908633,0.0676903,0.876322232,-48.28867582,-45.37254724,-46.22341054,-156.6728939,-128.5343873,-73.40469456,-94.93756141,-90.06910914,-40.30370733
-0.021022497,0.221200211,0.422763666,-0.414998693,-0.129012343,0.082394804,0.896851714,-52.60072508,-43.35973244,-46.63078056,-154.2942232,-129.1271209,-73.23966563,-96.08261454,-92.43681249,-51.82282108
-0.011584327,0.212490366,0.419879395,-0.397682292,-0.127282852,0.098618433,0.903284161,-57.40584004,-44.35488681,-47.22787318,-151.292563,-128.7341234,-73.14268233,-97.87335992,-99.37970745,-55.39378399
-0.002803231,0.20293912,0.41172624,-0.361185121,-0.106695207,0.099033851,0.921061202,-61.81442216,-44.59605659,-45.7051045,-149.1273976,-128.0839914,-72.71167621,-99.64125917,-104.3350066,-53.56382232
0.00869819,0.193980397,0.410226357,-0.343697547,-0.101798869,0.109151107,0.927143474,-66.61953712,-45.59121095,-46.30219712,-146.1257374,-127.6909939,-72.6146929,-101.4320045,-111.2779016,-57.13478524
0.019674485,0.182487935,0.403030545,-0.295495444,-0.083418435,0.106617474,0.945704246,-73.40138565,-32.93437303,-44.26435909,-143.9173245,-126.2694292,-72.72569819,-102.9863269,-115.2769986,-57.78028586
0.031149433,0.172800188,0.40260368,-0.275828536,-0.078837799,0.113202472,0.951256233,-78.20650061,-33.92952739,-44.86145171,-140.9156643,-125.8764317,-72.62871489,-104.7770722,-122.2198936,-61.35124878
0.039782917,0.160189621,0.398208344,-0.235367876,-0.058263458,0.107314906,0.964204772,-80.24998236,-45.04868561,-45.716079,-138.6856278,-126.3191506,-72.93572588,-105.9246061,-127.0158896,-62.70948055
0.054922528,0.177457438,0.406082547,-0.278637245,-0.035870603,0.104831058,0.953983771,-71.97481875,-44.01199567,-45.09406504,-139.0278041,-128.9398159,-74.14238952,-109.4117116,-128.9544922,-63.57511284
0.078923367,0.194928603,0.418330069,-0.299059806,-0.013118485,0.122917066,0.946193708,-66.06883853,-35.73730766,-40.77581842,-138.2557922,-134.0033394,-69.85105032,-111.3022113,-131.6946452,-72.63437956
0.088480651,0.2106949,0.427984947,-0.341376791,0.005839949,0.123697261,0.931733207,-57.79367492,-34.70061773,-40.15380446,-138.5979684,-136.6240046,-71.05771396,-114.7893168,-133.6332478,-73.50001185
0.108438721,0.234863873,0.442947598,-0.368080378,0.009856067,0.134460861,0.919967374,-50.47810301,-28.09492876,-37.90867416,-137.1080506,-137.766099,-80.01537618,-117.6281194,-136.4976256,-97.43746135
0.118364423,0.248694923,0.454989926,-0.401450104,0.032845764,0.134874082,0.905299924,-42.2029394,-27.05823882,-37.2866602,-137.4502268,-140.3867643,-81.22203982,-121.1152249,-138.4362282,-98.30309364
0.129625405,0.271831232,0.474033918,-0.432668812,0.068473091,0.094850474,0.893930938,-35.38257164,-24.73704937,-31.87808808,-136.801356,-143.3931441,-87.50420276,-124.953179,-142.7877184,-84.52963454
0.136805355,0.276005983,0.480899008,-0.446272169,0.082403352,0.086178565,0.886918313,-27.10740803,-23.70035943,-31.25607411,-137.1435323,-146.0138094,-88.7108664,-128.4402845,-144.726321,-85.39526683
