x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg,x_end_avg,y_end_avg,z_end_avg,qx_end_avg,qy_end_avg,qz_end_avg,qw_end_avg
1.22E-01,3.22E-01,1.33E-01,8.83E-02,5.47E-03,-1.19E-01,-9.89E-01,0.113256769,0.322268059,0.130351976,0.078004362,0.003990974,-0.099731516,-0.991943836
-2.35E-02,3.32E-01,9.35E-02,9.87E-03,-1.21E-02,9.74E-02,-9.95E-01,-0.0162092,0.328900675,0.102623041,0.036999958,-0.012806197,0.084867072,-0.995622349
1.75E-02,3.41E-01,1.16E-01,-1.13E-02,-3.73E-03,8.25E-02,-9.97E-01,0.012210111,0.335773728,0.110286718,-0.003848528,-0.008366105,0.074459494,-0.997181487
-4.07E-02,3.39E-01,5.28E-02,-1.56E-02,-1.57E-02,6.08E-02,-9.98E-01,-0.030913845,0.335297539,0.052652475,-0.026224941,-0.010915455,0.05771045,-0.997925949
4.69E-02,3.35E-01,6.24E-02,-1.90E-02,-7.91E-03,-5.44E-02,-9.98E-01,0.049987423,0.335055945,0.056508943,-0.033787098,-0.007765548,-0.050905529,-0.998101564
1.35E-02,3.42E-01,3.13E-02,-1.81E-01,-1.31E-02,9.16E-02,-9.79E-01,0.019282569,0.34033165,0.022353866,-0.169374698,-0.013532473,0.073735391,-0.982694185
7.17E-02,3.40E-01,1.08E-01,9.79E-02,-2.17E-04,-4.18E-02,-9.94E-01,0.079957647,0.338233948,0.104056556,0.068611361,0.006995223,-0.038105607,-0.996887732
1.26E-01,3.36E-01,1.26E-01,2.16E-02,-2.24E-02,-1.54E-01,-9.88E-01,0.128341855,0.33689871,0.11940892,0.023260227,-0.003166189,-0.148440772,-0.988642597
3.81E-02,3.31E-01,3.72E-02,-1.01E-01,-1.17E-02,2.73E-02,-9.94E-01,0.046485222,0.328111802,0.05782409,-0.076319547,-0.010000622,0.005361627,-0.997016641
7.14E-02,3.31E-01,8.38E-02,-1.08E-01,-2.95E-03,-5.34E-02,-9.93E-01,0.068422289,0.328748083,0.071911014,-0.086819673,0.000791637,-0.039655699,-0.995433692
7.42E-02,3.18E-01,9.17E-02,-4.98E-02,-7.10E-04,-3.52E-02,-9.98E-01,0.063200327,0.320092161,0.089917234,-0.060726468,0.001888011,-0.030114509,-0.997697842
1.43E-01,3.53E-01,1.97E-03,-1.39E-01,1.89E-02,-1.76E-01,-9.74E-01,0.14674387,0.348710247,0.011700715,-0.142935233,0.009153594,-0.17221345,-0.974590504
3.20E-03,3.62E-01,2.07E-01,1.42E-01,1.28E-02,7.05E-02,-9.87E-01,0.003550253,0.356888247,0.197332298,0.120565272,0.007775071,0.045133364,-0.991648261
5.99E-02,3.16E-01,1.16E-01,6.31E-02,-7.91E-03,-1.76E-02,-9.98E-01,0.062344745,0.317783026,0.109936789,0.045411938,-0.007762592,-0.028979561,-0.998517668
4.31E-02,3.57E-01,5.77E-02,1.08E-01,5.19E-03,5.35E-02,-9.93E-01,0.052281829,0.350700102,0.058611003,0.081899269,0.011961314,0.071965293,-0.993966607
-6.11E-03,3.42E-01,8.25E-02,5.89E-02,-1.38E-02,8.25E-02,-9.95E-01,-0.011919465,0.343594682,0.088424756,0.065917816,-0.011893506,0.081379159,-0.994429878
-3.76E-02,3.51E-01,8.93E-02,-1.78E-02,-1.62E-03,2.32E-01,-9.72E-01,-0.037055025,0.351571339,0.087008757,-0.000732443,-0.008976823,0.223928263,-0.974563535
1.31E-01,3.23E-01,4.15E-02,-9.38E-02,-3.87E-03,-9.31E-02,-9.91E-01,0.108097019,0.322386318,0.051011269,-0.084953014,-0.004481649,-0.048591327,-0.995189202
7.97E-02,3.34E-01,4.36E-02,-4.16E-02,-2.12E-03,3.92E-03,-9.99E-01,0.084520595,0.32837856,0.044004428,-0.044164346,-0.009681735,-0.009474789,-0.998932072
